-3.39,-3.40,-0.01,0.00,-0.01,0.00,-0.04,0.00,-0.04,1.37,-0.04,0.00
-3.40,-3.38,0.02,0.00,0.00,0.00,0.03,0.00,0.03,1.37,0.00,0.00
-3.38,-3.43,-0.05,0.00,-0.05,0.00,-0.08,0.01,-0.08,1.37,-0.08,0.01
-3.43,-3.40,0.03,0.00,0.00,0.00,0.09,0.01,0.09,1.38,0.00,0.00
-3.40,-3.37,0.03,0.00,0.00,0.00,-0.00,0.00,-0.00,1.38,-0.00,0.00
-3.37,-3.37,0.00,0.00,0.00,0.00,-0.02,0.00,-0.02,1.38,-0.02,0.00
-3.37,-3.56,-0.19,0.04,-0.19,0.04,-0.19,0.04,-0.19,1.42,-0.19,0.04
-3.56,-3.51,0.06,0.00,0.00,0.00,0.25,0.06,0.25,1.48,0.00,0.00
-3.51,-3.55,-0.04,0.00,-0.04,0.00,-0.10,0.01,-0.10,1.49,-0.10,0.01
-3.55,-3.58,-0.03,0.00,-0.03,0.00,0.02,0.00,0.02,1.49,0.00,0.00
-3.58,-3.64,-0.06,0.00,-0.06,0.00,-0.04,0.00,-0.04,1.49,-0.04,0.00
-3.64,-3.67,-0.03,0.00,-0.03,0.00,0.04,0.00,0.04,1.49,0.00,0.00
-3.67,-3.62,0.05,0.00,0.00,0.00,0.08,0.01,0.08,1.50,0.00,0.00
-3.62,-3.67,-0.05,0.00,-0.05,0.00,-0.10,0.01,-0.10,1.51,-0.10,0.01
-3.67,-3.79,-0.12,0.01,-0.12,0.01,-0.07,0.00,-0.07,1.51,-0.07,0.00
-3.79,-3.80,-0.01,0.00,-0.01,0.00,0.10,0.01,0.10,1.53,0.00,0.00
-3.80,-3.80,-0.00,0.00,-0.00,0.00,0.01,0.00,0.01,1.53,0.00,0.00
-3.80,-3.86,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,1.53,-0.05,0.00
-3.86,-3.79,0.07,0.00,0.00,0.00,0.12,0.01,0.12,1.54,0.00,0.00
-3.79,-3.72,0.07,0.00,0.00,0.00,-0.00,0.00,-0.00,1.54,-0.00,0.00
-3.72,-3.83,-0.11,0.01,-0.11,0.01,-0.18,0.03,-0.18,1.57,-0.18,0.03
-3.83,-3.76,0.07,0.00,0.00,0.00,0.17,0.03,0.17,1.60,0.00,0.00
-3.76,-3.89,-0.12,0.01,-0.12,0.01,-0.19,0.03,-0.19,1.64,-0.19,0.03
-3.89,-3.97,-0.08,0.01,-0.08,0.01,0.04,0.00,0.04,1.64,0.00,0.00
-3.97,-4.00,-0.03,0.00,-0.03,0.00,0.05,0.00,0.05,1.64,0.00,0.00
-4.00,-4.03,-0.03,0.00,-0.03,0.00,0.01,0.00,0.01,1.64,0.00,0.00
-4.03,-4.01,0.02,0.00,0.00,0.00,0.05,0.00,0.05,1.65,0.00,0.00
-4.01,-4.13,-0.12,0.01,-0.12,0.01,-0.14,0.02,-0.14,1.67,-0.14,0.02
-4.13,-4.14,-0.01,0.00,-0.01,0.00,0.11,0.01,0.11,1.68,0.00,0.00
-4.14,-4.12,0.02,0.00,0.00,0.00,0.03,0.00,0.03,1.68,0.00,0.00
-4.12,-3.91,0.20,0.04,0.00,0.00,0.18,0.03,0.18,1.71,0.00,0.00
-3.91,-3.90,0.01,0.00,0.00,0.00,-0.19,0.04,-0.19,1.75,-0.19,0.04
-3.90,-4.08,-0.18,0.03,-0.18,0.03,-0.19,0.04,-0.19,1.78,-0.19,0.04
-4.08,-4.00,0.08,0.01,0.00,0.00,0.26,0.07,0.26,1.85,0.00,0.00
-4.00,-4.00,-0.00,0.00,-0.00,0.00,-0.09,0.01,-0.09,1.86,-0.09,0.01
-4.00,-4.16,-0.16,0.02,-0.16,0.02,-0.16,0.02,-0.16,1.89,-0.16,0.02
-4.16,-4.26,-0.10,0.01,-0.10,0.01,0.06,0.00,0.06,1.89,0.00,0.00
-4.26,-4.22,0.04,0.00,0.00,0.00,0.14,0.02,0.14,1.91,0.00,0.00
-4.22,-4.08,0.13,0.02,0.00,0.00,0.09,0.01,0.09,1.92,0.00,0.00
-4.08,-3.97,0.11,0.01,0.00,0.00,-0.02,0.00,-0.02,1.92,-0.02,0.00
-3.97,-4.12,-0.15,0.02,-0.15,0.02,-0.26,0.07,-0.26,1.98,-0.26,0.07
-4.12,-4.14,-0.01,0.00,-0.01,0.00,0.13,0.02,0.13,2.00,0.00,0.00
